station,days.SAMBAH,days.SNMP,DPD.SAMBAH,DPD.SNMP,mean.DPH.SAMBAH,mean.DPH.SNMP,change.DPH,days.SAMBAH.summer,days.SNMP.summer,DPD.SAMBAH.summer,DPD.SNMP.summer,mean.DPH.SAMBAH.summer,mean.DPH.SNMP.summer,change.DPH.summer
1014,732,943,11,28,0.015027322404371584,0.036055143160127257,139.9305890292105,415,466,4,21,0.00963855421686747,0.055793991416309016,478.862660944206
1019,486,708,10,33,0.02263374485596708,0.06638418079096045,193.29738058551618,336,366,0,24,0,0.08469945355191257,NA
1020,497,942,9,17,0.02012072434607646,0.020169851380042462,0.24416135881104584,284,504,2,6,0.007042253521126761,0.011904761904761904,69.04761904761902
1021,232,172,5,1,0.03017241379310345,0.005813953488372093,-80.73089700996678,147,154,4,1,0.04081632653061224,0.006493506493506494,-84.09090909090908
1024,567,296,2,1,0.003527336860670194,0.0033783783783783786,-4.22297297297296,266,254,0,0,0,0,NA
1025,634,686,7,8,0.012618296529968454,0.014577259475218658,15.524781341107863,356,435,2,5,0.008426966292134831,0.013793103448275862,63.67816091954024
1026,293,666,3,18,0.010238907849829351,0.03903903903903904,281.28128128128134,234,465,3,14,0.01282051282051282,0.04516129032258064,252.25806451612902
1029,272,345,7,14,0.03308823529411765,0.06086956521739131,83.96135265700484,272,183,7,10,0.03308823529411765,0.08743169398907104,164.23800850030358
1031,682,1015,4,19,0.005865102639296188,0.019704433497536946,235.96059113300493,377,527,0,7,0,0.013282732447817837,NA
1032,733,858,21,50,0.030013642564802184,0.06993006993006994,132.99427844882393,420,493,14,39,0.03571428571428571,0.0973630831643002,172.61663286004057
1036,629,768,304,404,1.3322734499205087,1.40234375,5.259453311455853,359,464,236,337,1.8551532033426184,1.9504310344827587,5.135847053950515
1041,665,718,61,144,0.12330827067669173,0.29387186629526463,138.3229159589646,353,438,56,132,0.21246458923512748,0.4383561643835616,106.31963470319631
All stations,6422,8117,444,737,0.15680473372781065,0.18812369101884932,19.973221819568067,3819,4749,328,596,0.20502749410840534,0.2651084438829227,29.30385021569373
